,Your_Target_Column
count_months_since_tank_cleaning,-0.1628258418039962
is_pump_motor_overheating,-0.16193872177151802
count_water_level_readings,-0.15008980120956575
has_primary_solar_inverter,-0.14857244431058705
count_water_tanks_connected,-0.14739233973440607
count_solar_panel_cleanings,-0.14723032989642285
base_station_installation_age_years,0.11586955850262136
base_solar_panel_tilt_angle_degrees,0.1113357310073743
count_battery_banks_installed,-0.08343154983222589
count_grid_failures,-0.07945768608225665
num_var8_0,0.055664315486534395
lacks_battery_backup_system,-0.05566431548653438
is_salinity_sensor_inactive,0.043987371272815
lacks_short_term_maintenance_contract,0.04331798703842562
has_active_maintenance_schedule,-0.042869354473705996
num_var13_0,-0.041817332891648455
count_pump_repairs_total,-0.04159215494757119
sensor_current_groundwater_level_meters,-0.04008792309525763
lacks_primary_solar_inverter,0.04001398907609284
is_salinity_sensor_active,-0.03890531716694198
count_maintenance_visits_total,-0.03869062584331654
count_months_since_minor_repair,-0.03766144676706825
count_sensors_deployed,0.037391575454851354
has_battery_backup_system,0.037391575454850924
lacks_emergency_short_term_fund,0.03736276786910995
num_var13_corto_0,-0.037279876169185586
has_emergency_short_term_fund,-0.036864776404877626
count_minor_repairs_total,-0.03686041173776437
is_groundwater_level_stable,-0.03652619911957928
count_dry_run_events,-0.03652073535526226
