column,zero_ratio
cost_depreciation_value_bdt,1.0
sensor_groundwater_arsenic_level,0.9999792220744681
sensor_dust_accumulation_index,0.9999584441489362
num_venta_var44_hace3,0.9999584441489362
cost_fund_transfer_in_bdt,0.9999376662234043
num_trasp_var33_in_ult1,0.9999376662234043
count_months_since_arsenic_test,0.9999168882978723
num_var6_0,0.9998753324468085
sensor_avg_humidity_3_months_ago,0.9998753324468085
cost_govt_grant_3m_bdt,0.9998337765957447
num_aport_var17_hace3,0.9998337765957447
cost_reimbursement_repair_bdt,0.999771442819149
num_reemb_var17_ult1,0.999771442819149
cost_ngo_funding_3m_bdt,0.999750664893617
num_aport_var33_hace3,0.999750664893617
sensor_avg_vibration_3_months_ago,0.9997298869680851
cost_panel_replacement_3m_bdt,0.9996675531914894
num_compra_var44_hace3,0.9996675531914894
sensor_avg_irradiance_3_months_ago,0.9996675531914894
cost_effective_repair_bdt,0.999522107712766
num_op_var40_efect_ult1,0.999522107712766
sensor_avg_vibration_2_months_ago,0.999522107712766
count_vibration_anomalies,0.9994805518617021
sensor_motor_vibration_level_mm_s,0.9994805518617021
count_months_since_vibration_check,0.9994805518617021
sensor_avg_vibration_last_month,0.9994805518617021
sensor_avg_vibration_last_3_months,0.9994805518617021
cost_reimbursement_maintenance_bdt,0.9994597739361702
num_reemb_var13_ult1,0.9994597739361702
cost_effective_repair_3m_bdt,0.9994389960106383
cost_scrap_sale_bdt,0.9994389960106383
num_op_var40_efect_ult3,0.9994389960106383
num_venta_var44_ult1,0.9994389960106383
cost_govt_grant_bdt,0.9993766622340425
num_aport_var17_ult1,0.9993766622340425
num_var33_0,0.9993351063829787
num_var32_0,0.9989195478723404
count_arsenic_tests,0.9989195478723404
sensor_inverter_temperature_celsius,0.9989195478723404
cost_panel_replacement_bdt,0.9989195478723404
num_compra_var44_ult1,0.9989195478723404
sensor_avg_irradiance_2_months_ago,0.9988779920212766
num_op_var40_hace2,0.9986494348404256
count_fuse_replacements,0.9986286569148937
sensor_coastal_humidity_percentage,0.9986286569148937
cost_subsidy_received_bdt,0.9985871010638298
num_sal_var16_ult1,0.9985871010638298
sensor_avg_humidity_last_month,0.998545545212766
sensor_avg_humidity_last_3_months,0.998545545212766
count_months_since_humidity_calib,0.998524767287234
count_technician_visits,0.9984000997340425
sensor_solar_irradiance_wm2,0.9984000997340425
num_var17_0,0.9983793218085106
num_var44_0,0.998296210106383
count_months_since_panel_cleaning,0.998296210106383
sensor_avg_irradiance_last_month,0.998296210106383
sensor_avg_irradiance_last_3_months,0.998296210106383
count_remote_alerts_triggered,0.9973612034574468
sensor_battery_charge_percentage,0.9973612034574468
cost_energy_sold_to_grid_bdt,0.9972573138297872
num_var7_recib_ult1,0.9972573138297872
cost_total_repair_bdt,0.9969248670212766
num_op_var40_ult1,0.9969248670212766
num_op_var40_ult3,0.9966963098404256
count_salinity_tests,0.9965508643617021
sensor_panel_surface_temperature_celsius,0.9965508643617021
num_var20_0,0.996343085106383
count_pump_motor_faults,0.9961353058510638
count_battery_failures,0.9961353058510638
sensor_pump_flow_rate_lph,0.9961353058510638
count_active_solar_panels,0.99609375
sensor_current_grid_power_status,0.99609375
cost_commercial_repair_bdt,0.9960729720744681
num_var31_0,0.9960729720744681
num_op_var40_comer_ult1,0.9960729720744681
sensor_avg_long_runtime_3_months_ago,0.9959690824468085
cost_commercial_repair_3m_bdt,0.9953873005319149
num_op_var40_comer_ult3,0.9953873005319149
count_inverter_replacements,0.9948470744680851
sensor_panel_surface_dust_index,0.9948470744680851
cost_community_contribution_bdt,0.9947431848404256
num_aport_var13_ult1,0.9947431848404256
sensor_avg_temp_3_months_ago,0.9936835106382979
sensor_avg_long_runtime_2_months_ago,0.9934965093085106
sensor_avg_long_runtime_last_month,0.9928731715425532
sensor_avg_long_runtime_last_3_months,0.9928731715425532
count_months_since_major_repair,0.9927692819148937
count_major_repairs_total,0.9899642619680851
sensor_long_term_pump_runtime_hours,0.9899642619680851
num_var13_largo_0,0.989735704787234
num_var40_0,0.9888006981382979
base_pump_motor_depth_meters,0.9888006981382979
num_var1_0,0.988759142287234
num_op_var41_hace3,0.9867644614361702
num_op_var39_hace3,0.9866813497340425
sensor_avg_demand_3_months_ago,0.9832737699468085
sensor_avg_short_runtime_3_months_ago,0.9826296542553191
num_trasp_var11_ult1,0.9784948470744681
cost_community_contribution_3m_bdt,0.9779961768617021
num_aport_var13_hace3,0.9779961768617021
num_var14_0,0.9765832779255319
num_var25_0,0.9757937167553191
count_overheating_events,0.9757937167553191
sensor_rainfall_mm,0.9757937167553191
num_var26_0,0.9748171542553191
count_voltage_surge_events,0.9748171542553191
sensor_water_salinity_ppm,0.9748171542553191
count_sensors_deployed,0.971451130319149
sensor_ambient_temperature_celsius,0.971451130319149
count_months_since_temp_sensor_calib,0.9709109042553191
num_var8_0,0.9669215425531915
count_dry_run_events,0.9621218417553191
sensor_wind_speed_kmh,0.9621218417553191
sensor_avg_short_runtime_2_months_ago,0.961436170212766
sensor_avg_demand_2_months_ago,0.9608751662234043
count_minor_repairs_total,0.958984375
sensor_short_term_pump_runtime_hours,0.958984375
sensor_avg_short_runtime_last_month,0.9585272606382979
sensor_avg_short_runtime_last_3_months,0.9585272606382979
num_var24_0,0.9579454787234043
count_months_since_minor_repair,0.9576961436170213
num_var13_corto_0,0.9576338098404256
count_maintenance_visits_total,0.9547872340425532
sensor_daily_water_demand_liters,0.9547872340425532
sensor_avg_demand_last_month,0.9545586768617021
sensor_avg_demand_last_3_months,0.9545586768617021
count_months_since_last_maintenance,0.9544340093085106
num_var37_med_ult2,0.9523562167553191
cost_total_energy_consumed_bdt,0.9516082114361702
num_ent_var16_ult1,0.9516082114361702
count_pump_repairs_total,0.9495304188829787
sensor_average_daily_pump_runtime_hours,0.9495304188829787
num_var13_0,0.9481590757978723
num_var37_0,0.9336353058510638
count_inverter_shutdowns,0.9336353058510638
sensor_grid_voltage_fluctuation_index,0.9336353058510638
cost_insurance_premium_bdt,0.933115857712766
num_var43_emit_ult1,0.933115857712766
num_var12_0,0.9329080784574468
cost_effective_parts_bdt,0.912836602393617
num_op_var41_efect_ult1,0.912836602393617
cost_effective_maintenance_bdt,0.9126911569148937
num_op_var39_efect_ult1,0.9126911569148937
count_cycles_last_month,0.8935339095744681
num_op_var41_hace2,0.8902302194148937
num_op_var39_hace2,0.8893159906914894
cost_effective_parts_3m_bdt,0.8866564162234043
num_op_var41_efect_ult3,0.8866564162234043
cost_effective_maintenance_3m_bdt,0.8865109707446809
num_op_var39_efect_ult3,0.8865109707446809
cost_commercial_parts_bdt,0.8707405252659575
num_op_var41_comer_ult1,0.8707405252659575
cost_grid_connection_fee_bdt,0.8699925199468085
num_var43_recib_ult1,0.8699925199468085
cost_commercial_maintenance_bdt,0.8687874002659575
num_op_var39_comer_ult1,0.8687874002659575
num_med_var22_ult3,0.8501496010638298
cost_commercial_parts_3m_bdt,0.847905585106383
num_op_var41_comer_ult3,0.847905585106383
cost_total_parts_bdt,0.8473238031914894
num_op_var41_ult1,0.8473238031914894
cost_commercial_maintenance_3m_bdt,0.845931682180851
num_op_var39_comer_ult3,0.845931682180851
cost_total_maintenance_bdt,0.8457446808510638
num_op_var39_ult1,0.8457446808510638
num_op_var41_ult3,0.8207488364361702
num_op_var39_ult3,0.8192943816489362
count_cycles_3_months_ago,0.8135804521276596
count_cycles_2_months_ago,0.7953582114361702
num_var45_ult1,0.715093085106383
num_med_var45_ult3,0.6751163563829787
num_var45_hace3,0.666244182180851
count_cycles_last_3_months,0.656021442819149
num_var45_hace2,0.6431183510638298
num_var45_ult3,0.5048620345744681
count_water_tanks_connected,0.33822307180851063
count_solar_panel_cleanings,0.2904753989361702
count_months_since_tank_cleaning,0.27293882978723405
count_water_level_readings,0.26948969414893614
count_battery_banks_installed,0.2593708444148936
count_grid_failures,0.2593708444148936
count_months_battery_warranty_valid,0.13493184840425532
num_var41_0,0.12175864361702128
num_var39_0,0.12028341090425532
num_var5_0,0.041929853723404256
num_var42_0,0.005464594414893617
base_solar_panel_tilt_angle_degrees,0.005360704787234043
num_var30_0,0.004363364361702127
base_number_of_dependent_farmers,0.001184341755319149
base_station_installation_age_years,0.00043633643617021275
sensor_current_water_tank_storage_liters,2.0777925531914893e-05
sensor_avg_water_tank_2_months_ago,2.0777925531914893e-05
sensor_avg_water_tank_3_months_ago,2.0777925531914893e-05
sensor_avg_water_tank_last_month,2.0777925531914893e-05
sensor_avg_water_tank_last_3_months,2.0777925531914893e-05
sensor_avg_temp_2_months_ago,2.0777925531914893e-05
sensor_avg_temp_last_month,2.0777925531914893e-05
sensor_avg_temp_last_3_months,2.0777925531914893e-05
sensor_avg_humidity_2_months_ago,2.0777925531914893e-05
sensor_current_groundwater_level_meters,0.0
sensor_current_battery_voltage_volts,0.0
trend_depreciation_rate_1y3,0.0
trend_community_fund_growth_1y3,0.0
trend_govt_fund_growth_1y3,0.0
trend_ngo_fund_growth_1y3,0.0
trend_replacement_cost_increase_1y3,0.0
trend_maintenance_cost_increase_1y3,0.0
trend_repair_cost_increase_1y3,0.0
trend_incoming_fund_increase_1y3,0.0
trend_outgoing_expense_increase_1y3,0.0
trend_internal_transfer_in_1y3,0.0
trend_internal_transfer_out_1y3,0.0
trend_scrap_value_change_1y3,0.0
trend_community_contribution_count_1y3,0.0
trend_govt_grant_count_1y3,0.0
trend_ngo_funding_count_1y3,0.0
trend_panel_replacement_count_1y3,0.0
trend_maintenance_claim_count_1y3,0.0
trend_repair_claim_count_1y3,0.0
trend_expense_transaction_count_1y3,0.0
trend_internal_in_count_1y3,0.0
trend_scrap_sale_count_1y3,0.0
base_distance_from_coastal_river_km,0.0
