,zero_ratio
feat_322,1.0
feat_308,1.0
feat_304,1.0
feat_37,1.0
feat_317,1.0
feat_319,1.0
feat_290,1.0
feat_287,1.0
feat_58,1.0
feat_178,1.0
feat_166,1.0
feat_218,1.0
feat_224,1.0
feat_212,1.0
feat_241,1.0
feat_231,1.0
feat_49,1.0
feat_42,1.0
feat_50,1.0
feat_52,1.0
feat_248,1.0
feat_260,1.0
feat_100,1.0
feat_89,1.0
feat_14,1.0
feat_70,1.0
feat_200,1.0
feat_64,1.0
feat_252,0.999986845566956
feat_184,0.999986845566956
feat_10,0.999986845566956
feat_135,0.999986845566956
feat_149,0.999986845566956
feat_114,0.999986845566956
feat_94,0.999986845566956
feat_303,0.999986845566956
feat_196,0.999986845566956
feat_236,0.999986845566956
feat_113,0.9999736911339121
feat_133,0.9999736911339121
feat_88,0.9999736911339121
feat_87,0.9999736911339121
feat_82,0.9999736911339121
feat_165,0.9999736911339121
feat_262,0.9999736911339121
feat_263,0.9999736911339121
feat_294,0.9999736911339121
feat_31,0.9999736911339121
feat_267,0.9999736911339121
feat_1,0.9999736911339121
feat_276,0.9999736911339121
feat_222,0.9999736911339121
feat_45,0.9999736911339121
feat_38,0.9999736911339121
feat_207,0.9999736911339121
feat_118,0.9999736911339121
feat_127,0.9999736911339121
feat_158,0.9999736911339121
feat_139,0.9999736911339121
feat_141,0.9999736911339121
feat_189,0.9999736911339121
feat_201,0.9999736911339121
feat_154,0.9999736911339121
feat_93,0.9999605367008682
feat_152,0.9999605367008682
feat_131,0.9999605367008682
feat_19,0.9999605367008682
feat_2,0.9999605367008682
feat_60,0.9999605367008682
feat_349,0.9999473822678242
feat_13,0.9999473822678242
feat_336,0.9999473822678242
feat_128,0.9999473822678242
feat_347,0.9999473822678242
feat_185,0.9999473822678242
feat_172,0.9999342278347804
feat_6,0.9999342278347804
feat_26,0.9999210734017364
feat_156,0.9999210734017364
feat_170,0.9999210734017364
feat_11,0.9999210734017364
feat_174,0.9999079189686925
feat_98,0.9999079189686925
feat_4,0.9998947645356485
feat_28,0.9998947645356485
feat_138,0.9998947645356485
feat_171,0.9998553012365167
feat_330,0.9998553012365167
feat_30,0.9997500657721652
feat_160,0.9997369113391212
feat_315,0.9997237569060774
feat_301,0.9997237569060774
feat_106,0.9997106024730334
feat_62,0.9997106024730334
feat_255,0.9996974480399895
feat_101,0.9996974480399895
feat_256,0.9996842936069456
feat_77,0.9996842936069456
feat_99,0.9995790581425941
feat_274,0.9995790581425941
feat_324,0.9995001315443305
feat_348,0.9995001315443305
feat_76,0.9995001315443305
feat_226,0.9995001315443305
feat_204,0.9995001315443305
feat_213,0.9994343593791107
feat_120,0.9994212049460668
feat_258,0.9994212049460668
feat_270,0.9994212049460668
feat_145,0.9994080505130228
feat_124,0.9994080505130228
feat_153,0.9994080505130228
feat_311,0.9993685872138911
feat_310,0.9993685872138911
feat_232,0.9993685872138911
feat_90,0.9993685872138911
feat_40,0.9993685872138911
feat_104,0.9993685872138911
feat_271,0.9992501973164957
feat_96,0.9992238884504078
feat_144,0.9992107340173638
feat_199,0.9989213364903973
feat_251,0.9989213364903973
feat_345,0.9989213364903973
feat_27,0.9988950276243094
feat_249,0.9988950276243094
feat_74,0.9987240199947383
feat_282,0.9986582478295185
feat_340,0.9986582478295185
feat_343,0.998553012365167
feat_284,0.998553012365167
feat_316,0.998553012365167
feat_68,0.9984477769008155
feat_167,0.9984477769008155
feat_17,0.9983820047355959
feat_335,0.9983030781373323
feat_177,0.9983030781373323
feat_32,0.9983030781373323
