Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,16695711,GUB_ALU,"2026-08-13 10:10:31",0.288503685993,28,"kayees,samim101"
2,16695674,"Team Fall_Machine","2026-08-13 11:38:10",0.288413341044,40,"gmnoorlabib,utshob37"
3,16696481,"Team Null Hypothesis","2026-08-13 11:06:22",0.288373860182,25,"arkaariya,mdjahidhasanjim"
4,16695681,CUET_AL_Masaar,"2026-08-12 13:44:06",0.286843591191,24,rafiurrahman01
5,16697167,Scrat_Squad,"2026-08-13 11:56:49",0.286152665899,35,"adibatah,rocksta"
6,16702945,"Nvidia A6000","2026-08-13 11:58:43",0.285267071023,25,shakhoyatshujon
7,16695722,Disqualified,"2026-08-13 10:20:46",0.284817575519,49,"adnanzamanniloy,tahsinarafat"
8,16695645,"ahsan kabir00","2026-08-10 10:47:16",0.284605889613,7,ahsankabir00
9,16695677,"Hollow Vale","2026-08-11 20:15:27",0.284390735146,25,"khfaysalahammed,tanviranjumapurbo"
10,16695849,"Blindly AI Mari","2026-08-13 08:17:17",0.283687943262,39,isfakiqbalchowdhuruy
11,16695701,Pandas,"2026-08-13 10:12:27",0.282919760912,36,"alveeahnaf,antubiswas12"
12,16696412,IUT_Mrittu_Machines,"2026-08-13 11:15:44",0.281956280103,39,"abrarmahmudhasan,tahsanferdous"
13,16697252,RAG_Korla,"2026-08-13 11:28:17",0.281481481481,38,"shimulbaidya001,ziadmdtahzeeb"
14,16697600,"Team Mahalabia","2026-08-13 07:58:34",0.281052860561,44,"habiburrahman153,mitahi1810"
15,16695642,SUST_HIRE,"2026-08-13 07:37:02",0.278592375366,47,"mdrehanulbary,mollahhamza"
16,16696409,rOm_RoM_bHaIyO,"2026-08-13 11:47:50",0.278295849332,41,"alfardin09,arijitpaul07"
17,16696962,DataDriven,"2026-08-13 11:58:46",0.278254518897,42,"gschatten,ibtida01"
18,16695741,Here_for_t_shirt,"2026-08-13 11:05:10",0.276992651215,25,"hasib2005,johirulislamzim"
19,16695983,"শ্বশুরবাড়ি আদাবর","2026-08-13 11:01:58",0.274386653581,32,"didhitinahid,farhanishraqq"
20,16695715,Systum_Phar_Denge,"2026-08-13 11:49:23",0.265599417864,29,"jamiussiddiqui,shahahnafulislam"
21,16695657,SEU_FeatureForce,"2026-08-13 06:50:12",0.251475585762,30,"khan12052025,suyaibalsifat"
22,16697629,Whoaah!!!!,"2026-08-09 21:59:13",0.249621020717,5,cutieepookieurzaaa
23,16697377,AlgoVerse,"2026-08-12 04:19:36",0.245726857336,19,msharafatkarim
24,16695649,Backprop_Sust,"2026-08-13 11:59:22",0.244066655445,41,arif124713
25,16695710,Sleep_not_found,"2026-08-13 02:18:38",0.241251161350,39,"mohammadyaksafu,munnyrahman"
26,16707186,"Miftahul Adib","2026-08-13 11:30:40",0.241008403361,13,miftahuladib
27,16696451,TensorX,"2026-08-13 10:33:48",0.239898455680,26,"arafatrahman219,tukotanzwoo"
0,16705467,sample_submission.csv,"2026-08-09 09:42:29",0.239747634069,1,
28,16696153,KUETRON,"2026-08-13 11:10:47",0.239166946590,24,"mrrakib0886,tasnimulhassanrahat"
29,16697187,Team02w,"2026-08-12 23:01:47",0.236995467299,23,mohammedsakibhasan3
30,16695829,DataCrafter,"2026-08-13 03:34:43",0.233628318584,28,"arifulislammasum,imamulkabiranan"
31,16695805,pstu_below_average,"2026-08-13 11:53:51",0.232632541133,47,"jubayerisfar,tanzimnehal"
32,16702091,"S.M.Sakibul Hasan Sakib","2026-08-13 06:03:36",0.232327919566,25,smsakibulhasansakib
33,16696308,ANTS,"2026-08-12 14:01:53",0.229947376813,25,"abdurrahman007,dreamshop"
34,16695682,SixSeven,"2026-08-13 10:11:08",0.226920366455,23,"abdusshakursifat,lesgoo07"
35,16697541,DUO_LEVELING,"2026-08-13 09:16:39",0.225391498881,40,"ahmedsajidhasan,nawrizturjo"
36,16695851,morpheus_GUB,"2026-08-13 11:50:12",0.224726661059,16,"emon3469,jarif2001"
37,16711874,SOBEDAR_ALI,"2026-08-13 10:45:10",0.224715826289,9,tamim2276
38,16697691,PANDAS_22,"2026-08-13 11:07:45",0.224430441105,11,"ratulrahul,rejoneahmed"
39,16696508,LossLess,"2026-08-13 09:55:50",0.223797609118,45,nazmulh0
40,16696975,Kichu_Pari_Na,"2026-08-10 11:47:38",0.223042549057,14,"mohammadhabibzz,zubayeralkafi"
41,16697633,cf__,"2026-08-13 10:54:41",0.223027248385,34,"hridoychandrasarker,noushad970"
42,16697302,"Al Haybah","2026-08-11 06:15:19",0.221452088026,8,"asifxzaman,robiulhasanjisan13"
43,16695936,CousinMrg,"2026-08-12 12:08:13",0.221166892808,22,"humairamumtahinmahi,neelchini"
44,16705253,"Chowdhury Md. Asiful Mostafa","2026-08-13 11:55:30",0.220919747520,10,asifulmostafa
45,16695743,ENiGMA,"2026-08-13 11:22:36",0.220771333130,36,"shormighosh,tawhidulhasan401"
46,16707856,"Md. Imran Faraj","2026-08-13 07:21:44",0.220213196599,30,"abrarxawad,farajimran"
47,16705430,"Alif Ul Haque","2026-08-11 14:35:24",0.218888247739,2,alifulhaque
48,16696090,SynapseSync,"2026-08-13 10:37:50",0.218081616585,39,"arpitadasarpi,shakharmondol"
49,16695760,Rude_noe,"2026-08-12 14:51:24",0.218020022246,28,"jannatfermim,sadiahomayranowshin"
50,16695797,Data_Not_Found,"2026-08-12 11:57:06",0.217945007235,31,"nayeemulislam909,yaseenarafathridit"
51,16695644,Huntrix,"2026-08-11 06:06:43",0.217829880043,30,seyamalam
52,16695703,Tahsan_078,"2026-08-12 09:22:11",0.217156366092,19,"sadit12,tahsan078"
53,16696834,GUB_404_Brain_Not_Found,"2026-08-13 11:58:08",0.216984661429,38,"iftikharhasan,nadia53"
54,16696241,PUST_Optimizers_III_Nasr,"2026-08-13 06:17:48",0.216734533035,36,adittoahosankabbo
55,16695670,dia_de_kisu_ekta,"2026-08-13 01:41:27",0.216682958618,25,"hollowf4d9,potatoedraf"
56,16696801,kuchupuchu,"2026-08-12 18:16:01",0.216227347611,6,"faijul,farzz17"
